"param","dateRel","key","val","predUpr","predLwr"
"no2",85,"observed",36.63997735,39.0084388,34.5001413
"no2",86,"predic",34.86001603,37.14013817,32.5798939
"no2",86,"observed",35.2683289,37.14013817,32.5798939
"no2",87,"predic",33.4068137,35.71784553,31.09578186
"no2",87,"observed",31.87690369,35.71784553,31.09578186
"no2",88,"predic",32.63252875,34.98362125,30.28143625
"no2",88,"observed",29.12054359,34.98362125,30.28143625
"no2",89,"predic",31.34085165,33.82818284,28.85352045
"no2",89,"observed",26.96463981,33.82818284,28.85352045
"no2",90,"predic",29.5673942,32.1725926,26.9621958
"no2",90,"observed",24.94953629,32.1725926,26.9621958
"no2",91,"predic",29.54107405,32.1218831,26.96026499
"no2",91,"observed",24.15089247,32.1218831,26.96026499
"no2",92,"predic",30.04491403,32.70248177,27.3873463
"no2",92,"observed",25.00310729,32.70248177,27.3873463
"no2",94,"predic",31.06484802,33.76445597,28.36524007
"no2",94,"observed",26.08869715,33.76445597,28.36524007
"no2",95,"predic",33.59407106,36.27994787,30.90819425
"no2",95,"observed",28.27455476,36.27994787,30.90819425
"no2",96,"predic",37.02073286,39.70363967,34.33782605
"no2",96,"observed",30.60268902,39.70363967,34.33782605
"no2",97,"predic",38.004387,40.67773935,35.33103464
"no2",97,"observed",31.8010025,40.67773935,35.33103464
"no2",98,"predic",37.17156954,39.82671613,34.51642295
"no2",98,"observed",32.64247002,39.82671613,34.51642295
"no2",99,"predic",36.46927643,39.18642656,33.75212631
"no2",99,"observed",32.7684482,39.18642656,33.75212631
"no2",100,"predic",35.31430981,38.01599842,32.6126212
"no2",100,"observed",31.42349036,38.01599842,32.6126212
"no2",101,"predic",33.82782667,36.50133556,31.15431777
"no2",101,"observed",29.5816099,36.50133556,31.15431777
"no2",102,"predic",33.4844957,36.25068659,30.71830481
"no2",102,"observed",27.84048969,36.25068659,30.71830481
"no2",103,"predic",33.45499697,36.21452014,30.69547379
"no2",103,"observed",25.58099409,36.21452014,30.69547379
"no2",104,"predic",32.82374886,35.53418509,30.11331262
"no2",104,"observed",24.09911185,35.53418509,30.11331262
"no2",105,"predic",30.55451695,33.53902214,27.57001177
"no2",105,"observed",23.05078522,33.53902214,27.57001177
"no2",106,"predic",28.56959907,31.80604638,25.33315176
"no2",106,"observed",21.55224464,31.80604638,25.33315176
"no2",107,"predic",28.25216261,31.47582287,25.02850235
"no2",107,"observed",20.828804,31.47582287,25.02850235
"no2",108,"predic",28.80305511,31.92487639,25.68123382
"no2",108,"observed",21.17320593,31.92487639,25.68123382
"no2",109,"predic",29.517083,32.57122709,26.4629389
"no2",109,"observed",21.61697945,32.57122709,26.4629389
"no2",110,"predic",31.50512581,34.33582734,28.67442428
"no2",110,"observed",22.07146449,34.33582734,28.67442428
"no2",112,"predic",32.85258909,35.4782713,30.22690688
"no2",112,"observed",23.0436481,35.4782713,30.22690688
"pm25",-87,"predic",55.25253052,67.14907174,43.35598929
"pm25",-87,"observed",40.74486007,67.14907174,43.35598929
"pm25",-86,"predic",48.21052766,62.18575372,34.23530161
"pm25",-86,"observed",37.474933,62.18575372,34.23530161
"pm25",-85,"predic",31.47208863,41.61892316,21.32525411
"pm25",-85,"observed",30.38736971,41.61892316,21.32525411
"pm25",-84,"predic",26.15471197,36.45680057,15.85262337
"pm25",-84,"observed",24.99405843,36.45680057,15.85262337
"pm25",-83,"predic",23.3995563,34.30777188,12.49134072
"pm25",-83,"observed",26.15090576,34.30777188,12.49134072
"pm25",-82,"predic",25.92618829,34.65389408,17.19848249
"pm25",-82,"observed",29.46373733,34.65389408,17.19848249
"pm25",-81,"predic",27.06309419,34.86462249,19.26156588
"pm25",-81,"observed",32.68558159,34.86462249,19.26156588
"pm25",-80,"predic",24.25735963,32.23392871,16.28079054
"pm25",-80,"observed",30.72622652,32.23392871,16.28079054
"pm25",-79,"predic",26.02023975,34.91738534,17.12309416
"pm25",-79,"observed",30.80961332,34.91738534,17.12309416
"pm25",-78,"predic",25.4820183,34.87043541,16.0936012
"pm25",-78,"observed",29.31301678,34.87043541,16.0936012
"pm25",-77,"predic",26.2700077,35.01736901,17.52264638
"pm25",-77,"observed",31.33670186,35.01736901,17.52264638
"pm25",-76,"predic",23.40197253,31.89637352,14.90757154
"pm25",-76,"observed",27.3338638,31.89637352,14.90757154
"pm25",-75,"predic",27.26146145,35.1345193,19.3884036
"pm25",-75,"observed",28.08092187,35.1345193,19.3884036
"pm25",-74,"predic",21.12365206,26.29380125,15.95350287
"pm25",-74,"observed",19.86315994,26.29380125,15.95350287
"pm25",-73,"predic",21.78473969,26.32781606,17.24166331
"pm25",-73,"observed",19.98373672,26.32781606,17.24166331
"pm25",-72,"predic",19.5859662,24.2346725,14.93725989
"pm25",-72,"observed",17.70840547,24.2346725,14.93725989
"pm25",-71,"predic",24.06026501,28.7430815,19.37744852
"pm25",-71,"observed",21.5013272,28.7430815,19.37744852
"pm25",-70,"predic",25.17886616,29.76360042,20.5941319
"pm25",-70,"observed",23.21308791,29.76360042,20.5941319
"pm25",-69,"predic",22.29566133,26.5850109,18.00631176
"pm25",-69,"observed",22.68332232,26.5850109,18.00631176
"pm25",-68,"predic",21.92675742,26.27239636,17.58111848
"pm25",-68,"observed",23.14340981,26.27239636,17.58111848
"pm25",-67,"predic",22.47939422,26.84612067,18.11266777
"pm25",-67,"observed",21.32796719,26.84612067,18.11266777
"pm25",-66,"predic",20.99331718,24.82876052,17.15787385
"pm25",-66,"observed",20.81151942,24.82876052,17.15787385
"pm25",-65,"predic",19.96786253,23.89549212,16.04023295
"pm25",-65,"observed",20.37056949,23.89549212,16.04023295
"pm25",-64,"predic",19.01447769,23.00915374,15.01980164
"pm25",-64,"observed",18.7650321,23.00915374,15.01980164
"pm25",-63,"predic",18.62743579,22.80559694,14.44927463
"pm25",-63,"observed",17.87170105,22.80559694,14.44927463
"pm25",-62,"predic",17.68415457,22.15439725,13.21391189
"pm25",-62,"observed",18.79022544,22.15439725,13.21391189
"pm25",-61,"predic",21.53827578,26.1442283,16.93232326
"pm25",-61,"observed",20.43187184,26.1442283,16.93232326
"pm25",-60,"predic",19.04173056,23.50953533,14.5739258
"pm25",-60,"observed",19.37938186,23.50953533,14.5739258
"pm25",-59,"predic",19.45764347,24.04776698,14.86751997
"pm25",-59,"observed",19.85271699,24.04776698,14.86751997
"pm25",-58,"predic",27.06846275,30.92300953,23.21391596
"pm25",-58,"observed",32.20133903,30.92300953,23.21391596
"pm25",-57,"predic",37.95386658,42.75438465,33.15334851
"pm25",-57,"observed",47.16356768,42.75438465,33.15334851
"pm25",-56,"predic",49.58252918,55.20981951,43.95523885
"pm25",-56,"observed",57.88502192,55.20981951,43.95523885
"pm25",-55,"predic",61.54706091,67.92279917,55.17132265
"pm25",-55,"observed",69.57569811,67.92279917,55.17132265
"pm25",-54,"predic",74.34455572,81.44794441,67.24116703
"pm25",-54,"observed",80.82478499,81.44794441,67.24116703
"pm25",-53,"predic",74.37911147,81.38663077,67.37159217
"pm25",-53,"observed",75.00479097,81.38663077,67.37159217
"pm25",-52,"predic",74.0435141,81.21466944,66.87235876
"pm25",-52,"observed",70.58791174,81.21466944,66.87235876
"pm25",-51,"predic",73.26422525,80.46140372,66.06704679
"pm25",-51,"observed",70.27257128,80.46140372,66.06704679
"pm25",-50,"predic",71.91354547,79.15920846,64.66788248
"pm25",-50,"observed",66.94880548,79.15920846,64.66788248
"pm25",-49,"predic",69.93960018,77.12826375,62.7509366
"pm25",-49,"observed",65.05868634,77.12826375,62.7509366
"pm25",-48,"predic",70.54184713,77.47629131,63.60740295
"pm25",-48,"observed",65.57851452,77.47629131,63.60740295
"pm25",-47,"predic",74.69651382,81.35075207,68.04227557
"pm25",-47,"observed",69.24370401,81.35075207,68.04227557
"pm25",-46,"predic",75.65271797,82.19236366,69.11307228
"pm25",-46,"observed",72.9838322,82.19236366,69.11307228
"pm25",-45,"predic",75.50371801,82.08850827,68.91892775
"pm25",-45,"observed",76.73500428,82.08850827,68.91892775
"pm25",-44,"predic",74.92251903,81.40409586,68.44094221
"pm25",-44,"observed",77.7619348,81.40409586,68.44094221
"pm25",-43,"predic",76.21613814,82.61730971,69.81496656
"pm25",-43,"observed",77.9069494,82.61730971,69.81496656
"pm25",-42,"predic",67.56406362,74.67397539,60.45415186
"pm25",-42,"observed",68.51489932,74.67397539,60.45415186
"pm25",-41,"predic",65.58348497,72.35995428,58.80701566
"pm25",-41,"observed",62.77313046,72.35995428,58.80701566
"pm25",-40,"predic",65.56896739,72.20332224,58.93461255
"pm25",-40,"observed",59.30718928,72.20332224,58.93461255
"pm25",-39,"predic",66.16407412,72.82858533,59.49956292
"pm25",-39,"observed",58.13478886,72.82858533,59.49956292
"pm25",-38,"predic",68.59780409,74.7147002,62.48090797
"pm25",-38,"observed",60.86698518,74.7147002,62.48090797
"pm25",-37,"predic",68.63780064,74.55790801,62.71769327
"pm25",-37,"observed",63.37077677,74.55790801,62.71769327
