"week","alerts","city"
"2020-07-05T00:00:00.000Z",48766,"bogota"
"2020-07-12T00:00:00.000Z",35118,"bogota"
"2020-07-19T00:00:00.000Z",29335,"bogota"
"2020-07-26T00:00:00.000Z",34211,"bogota"
"2020-08-02T00:00:00.000Z",24700,"bogota"
"2020-08-09T00:00:00.000Z",39216,"bogota"
"2020-08-16T00:00:00.000Z",44422,"bogota"
"2020-08-23T00:00:00.000Z",49110,"bogota"
"2020-08-30T00:00:00.000Z",78626,"bogota"
"2020-09-06T00:00:00.000Z",75224,"bogota"
"2020-09-13T00:00:00.000Z",91790,"bogota"
"2020-09-20T00:00:00.000Z",76726,"bogota"
"2020-09-27T00:00:00.000Z",81744,"bogota"
"2020-10-04T00:00:00.000Z",86223,"bogota"
"2020-10-11T00:00:00.000Z",78149,"bogota"
"2020-10-18T00:00:00.000Z",85019,"bogota"
"2020-10-25T00:00:00.000Z",98856,"bogota"
"2020-11-01T00:00:00.000Z",88702,"bogota"
"2020-11-08T00:00:00.000Z",103452,"bogota"
"2020-11-15T00:00:00.000Z",96163,"bogota"
"2020-11-22T00:00:00.000Z",121972,"bogota"
"2020-11-29T00:00:00.000Z",124052,"bogota"
"2020-12-06T00:00:00.000Z",106974,"bogota"
"2020-12-13T00:00:00.000Z",126493,"bogota"
"2020-12-20T00:00:00.000Z",113145,"bogota"
"2020-12-27T00:00:00.000Z",59457,"bogota"
"2021-01-03T00:00:00.000Z",29134,"bogota"
"2021-01-10T00:00:00.000Z",28125,"bogota"
"2021-01-17T00:00:00.000Z",41921,"bogota"
"2021-01-24T00:00:00.000Z",57834,"bogota"
"2021-01-31T00:00:00.000Z",67995,"bogota"
"2021-02-07T00:00:00.000Z",74152,"bogota"
"2021-02-14T00:00:00.000Z",80082,"bogota"
"2021-02-21T00:00:00.000Z",90475,"bogota"
"2021-02-28T00:00:00.000Z",96819,"bogota"
"2021-03-07T00:00:00.000Z",100796,"bogota"
"2021-03-14T00:00:00.000Z",110839,"bogota"
"2021-03-21T00:00:00.000Z",97447,"bogota"
"2021-03-28T00:00:00.000Z",65657,"bogota"
"2021-04-04T00:00:00.000Z",86259,"bogota"
"2021-04-11T00:00:00.000Z",65386,"bogota"
"2021-04-18T00:00:00.000Z",77245,"bogota"
"2021-04-25T00:00:00.000Z",68308,"bogota"
"2021-05-02T00:00:00.000Z",72852,"bogota"
"2021-05-09T00:00:00.000Z",83305,"bogota"
"2021-05-16T00:00:00.000Z",83698,"bogota"
"2021-05-23T00:00:00.000Z",87530,"bogota"
"2021-05-30T00:00:00.000Z",111031,"bogota"
"2021-06-06T00:00:00.000Z",106928,"bogota"
"2021-06-13T00:00:00.000Z",103492,"bogota"
"2021-06-20T00:00:00.000Z",102753,"bogota"
"2021-06-27T00:00:00.000Z",99837,"bogota"
"2021-07-04T00:00:00.000Z",98576,"bogota"
"2021-07-11T00:00:00.000Z",108695,"bogota"
"2021-07-18T00:00:00.000Z",104280,"bogota"
"2021-07-25T00:00:00.000Z",120137,"bogota"
"2021-08-01T00:00:00.000Z",109173,"bogota"
"2021-08-08T00:00:00.000Z",130100,"bogota"
"2021-08-15T00:00:00.000Z",126971,"bogota"
"2021-08-22T00:00:00.000Z",127999,"bogota"
"2021-08-29T00:00:00.000Z",137481,"bogota"
"2021-09-05T00:00:00.000Z",128129,"bogota"
"2021-09-12T00:00:00.000Z",133940,"bogota"
"2021-09-19T00:00:00.000Z",124854,"bogota"
"2021-09-26T00:00:00.000Z",129286,"bogota"
"2021-10-03T00:00:00.000Z",132698,"bogota"
"2021-10-10T00:00:00.000Z",115314,"bogota"
"2021-10-17T00:00:00.000Z",133310,"bogota"
"2021-10-24T00:00:00.000Z",169881,"bogota"
"2021-10-31T00:00:00.000Z",142344,"bogota"
"2021-11-07T00:00:00.000Z",154107,"bogota"
"2021-11-14T00:00:00.000Z",139949,"bogota"
"2021-11-21T00:00:00.000Z",162197,"bogota"
"2021-11-28T00:00:00.000Z",165998,"bogota"
"2021-12-05T00:00:00.000Z",156458,"bogota"
"2021-12-12T00:00:00.000Z",175964,"bogota"
"2021-12-19T00:00:00.000Z",149338,"bogota"
"2021-12-26T00:00:00.000Z",97422,"bogota"
"2019-04-21T00:00:00.000Z",191,"mumbai"
"2019-04-28T00:00:00.000Z",222,"mumbai"
"2019-05-05T00:00:00.000Z",102,"mumbai"
"2019-05-12T00:00:00.000Z",187,"mumbai"
"2019-05-19T00:00:00.000Z",143,"mumbai"
"2019-05-26T00:00:00.000Z",266,"mumbai"
"2019-06-02T00:00:00.000Z",256,"mumbai"
"2019-06-09T00:00:00.000Z",253,"mumbai"
"2019-06-16T00:00:00.000Z",217,"mumbai"
"2019-06-23T00:00:00.000Z",290,"mumbai"
"2019-06-30T00:00:00.000Z",392,"mumbai"
"2019-07-07T00:00:00.000Z",336,"mumbai"
"2019-07-14T00:00:00.000Z",347,"mumbai"
"2019-07-21T00:00:00.000Z",502,"mumbai"
"2019-07-28T00:00:00.000Z",408,"mumbai"
"2019-08-04T00:00:00.000Z",537,"mumbai"
"2019-08-11T00:00:00.000Z",519,"mumbai"
"2019-08-18T00:00:00.000Z",419,"mumbai"
"2019-08-25T00:00:00.000Z",382,"mumbai"
"2019-09-01T00:00:00.000Z",652,"mumbai"
"2019-09-08T00:00:00.000Z",437,"mumbai"
"2019-09-15T00:00:00.000Z",431,"mumbai"
"2019-09-22T00:00:00.000Z",316,"mumbai"
"2019-09-29T00:00:00.000Z",254,"mumbai"
"2019-10-06T00:00:00.000Z",240,"mumbai"
"2019-10-13T00:00:00.000Z",131,"mumbai"
"2019-10-20T00:00:00.000Z",288,"mumbai"
"2019-10-27T00:00:00.000Z",131,"mumbai"
"2019-11-03T00:00:00.000Z",223,"mumbai"
"2019-11-10T00:00:00.000Z",488,"mumbai"
"2019-11-17T00:00:00.000Z",258,"mumbai"
"2019-11-24T00:00:00.000Z",314,"mumbai"
"2019-12-01T00:00:00.000Z",429,"mumbai"
"2019-12-08T00:00:00.000Z",274,"mumbai"
"2019-12-15T00:00:00.000Z",246,"mumbai"
"2019-12-22T00:00:00.000Z",302,"mumbai"
"2019-12-29T00:00:00.000Z",197,"mumbai"
"2020-01-05T00:00:00.000Z",147,"mumbai"
"2020-01-12T00:00:00.000Z",502,"mumbai"
"2020-01-19T00:00:00.000Z",228,"mumbai"
"2020-01-26T00:00:00.000Z",225,"mumbai"
"2020-02-02T00:00:00.000Z",409,"mumbai"
"2020-02-09T00:00:00.000Z",209,"mumbai"
"2020-02-16T00:00:00.000Z",171,"mumbai"
"2020-02-23T00:00:00.000Z",208,"mumbai"
"2020-03-01T00:00:00.000Z",160,"mumbai"
"2020-03-08T00:00:00.000Z",85,"mumbai"
"2020-03-15T00:00:00.000Z",35,"mumbai"
"2020-03-22T00:00:00.000Z",4,"mumbai"
"2020-03-29T00:00:00.000Z",5,"mumbai"
"2020-04-05T00:00:00.000Z",101,"mumbai"
"2020-04-12T00:00:00.000Z",169,"mumbai"
"2020-04-19T00:00:00.000Z",78,"mumbai"
"2020-04-26T00:00:00.000Z",2,"mumbai"
"2020-05-03T00:00:00.000Z",5,"mumbai"
