"iso","country","variable","water_stress","source","country_code"
"LBR","Liberia","SDG 6.4.2. Water Stress (%)",0.26431159,"FAO Aquastat","LBR"
"LBY","Libya","SDG 6.4.2. Water Stress (%)",817.142857,"FAO Aquastat","LBY"
"LTU","Lithuania","SDG 6.4.2. Water Stress (%)",1.83410238,"FAO Aquastat","LTU"
"LUX","Luxembourg","SDG 6.4.2. Water Stress (%)",3.96351575,"FAO Aquastat","LUX"
"MDG","Madagascar","SDG 6.4.2. Water Stress (%)",11.2615063,"FAO Aquastat","MDG"
"MWI","Malawi","SDG 6.4.2. Water Stress (%)",17.5048381,"FAO Aquastat","MWI"
"MYS","Malaysia","SDG 6.4.2. Water Stress (%)",3.43948718,"FAO Aquastat","MYS"
"MDV","Maldives","SDG 6.4.2. Water Stress (%)",15.6666667,"FAO Aquastat","MDV"
"MLI","Mali","SDG 6.4.2. Water Stress (%)",8.00308642,"FAO Aquastat","MLI"
"MLT","Malta","SDG 6.4.2. Water Stress (%)",81.8599396,"FAO Aquastat","MLT"
"MRT","Mauritania","SDG 6.4.2. Water Stress (%)",13.2462173,"FAO Aquastat","MRT"
"MUS","Mauritius","SDG 6.4.2. Water Stress (%)",22.0647037,"FAO Aquastat","MUS"
"MEX","Mexico","SDG 6.4.2. Water Stress (%)",44.8170243,"FAO Aquastat","MEX"
"MNG","Mongolia","SDG 6.4.2. Water Stress (%)",3.39500734,"FAO Aquastat","MNG"
"MAR","Morocco","SDG 6.4.2. Water Stress (%)",50.751212,"FAO Aquastat","MAR"
"MOZ","Mozambique","SDG 6.4.2. Water Stress (%)",1.75148633,"FAO Aquastat","MOZ"
"MMR","Myanmar","SDG 6.4.2. Water Stress (%)",5.8015014,"FAO Aquastat","MMR"
"NAM","Namibia","SDG 6.4.2. Water Stress (%)",0.86155257,"FAO Aquastat","NAM"
"NPL","Nepal","SDG 6.4.2. Water Stress (%)",8.31183266,"FAO Aquastat","NPL"
"NLD","Netherlands (Kingdom of the)","SDG 6.4.2. Water Stress (%)",16.8035606,"FAO Aquastat","NOT_FOUND"
"NZL","New Zealand","SDG 6.4.2. Water Stress (%)",8.04808476,"FAO Aquastat","NZL"
"NIC","Nicaragua","SDG 6.4.2. Water Stress (%)",2.22090021,"FAO Aquastat","NIC"
"NER","Niger","SDG 6.4.2. Water Stress (%)",11.0209377,"FAO Aquastat","NER"
"NGA","Nigeria","SDG 6.4.2. Water Stress (%)",9.66821705,"FAO Aquastat","NGA"
"MKD","North Macedonia","SDG 6.4.2. Water Stress (%)",38.7023233,"FAO Aquastat","MKD"
"NOR","Norway","SDG 6.4.2. Water Stress (%)",2.04646388,"FAO Aquastat","NOR"
"OMN","Oman","SDG 6.4.2. Water Stress (%)",116.714286,"FAO Aquastat","OMN"
"PAK","Pakistan","SDG 6.4.2. Water Stress (%)",116.305748,"FAO Aquastat","PAK"
"PSE","Palestine","SDG 6.4.2. Water Stress (%)",50.2638711,"FAO Aquastat","NOT_FOUND"
"PAN","Panama","SDG 6.4.2. Water Stress (%)",0.90107111,"FAO Aquastat","PAN"
"PNG","Papua New Guinea","SDG 6.4.2. Water Stress (%)",0.13224283,"FAO Aquastat","PNG"
"PRY","Paraguay","SDG 6.4.2. Water Stress (%)",1.83539971,"FAO Aquastat","PRY"
"PER","Peru","SDG 6.4.2. Water Stress (%)",7.1814456,"FAO Aquastat","PER"
"PHL","Philippines","SDG 6.4.2. Water Stress (%)",26.2510385,"FAO Aquastat","PHL"
"POL","Poland","SDG 6.4.2. Water Stress (%)",30,"FAO Aquastat","POL"
"PRT","Portugal","SDG 6.4.2. Water Stress (%)",12.3157123,"FAO Aquastat","PRT"
"PRI","Puerto Rico","SDG 6.4.2. Water Stress (%)",19.5356106,"FAO Aquastat","PRI"
"QAT","Qatar","SDG 6.4.2. Water Stress (%)",431.034483,"FAO Aquastat","QAT"
"KOR","Republic of Korea","SDG 6.4.2. Water Stress (%)",85.221833,"FAO Aquastat","NOT_FOUND"
"MDA","Republic of Moldova","SDG 6.4.2. Water Stress (%)",12.5631126,"FAO Aquastat","MDA"
"ROU","Romania","SDG 6.4.2. Water Stress (%)",6.00692819,"FAO Aquastat","ROU"
"RUS","Russian Federation","SDG 6.4.2. Water Stress (%)",4.12224275,"FAO Aquastat","RUS"
"RWA","Rwanda","SDG 6.4.2. Water Stress (%)",20.1986755,"FAO Aquastat","RWA"
"KNA","Saint Kitts and Nevis","SDG 6.4.2. Water Stress (%)",50.8333333,"FAO Aquastat","KNA"
"LCA","Saint Lucia","SDG 6.4.2. Water Stress (%)",14.3,"FAO Aquastat","LCA"
"VCT","Saint Vincent and the Grenadines","SDG 6.4.2. Water Stress (%)",7.9,"FAO Aquastat","VCT"
"STP","Sao Tome and Principe","SDG 6.4.2. Water Stress (%)",1.87614679,"FAO Aquastat","STP"
"SAU","Saudi Arabia","SDG 6.4.2. Water Stress (%)",974.166667,"FAO Aquastat","SAU"
"SEN","Senegal","SDG 6.4.2. Water Stress (%)",16.2764487,"FAO Aquastat","SEN"
"SRB","Serbia","SDG 6.4.2. Water Stress (%)",6.00078891,"FAO Aquastat","SRB"
"SLE","Sierra Leone","SDG 6.4.2. Water Stress (%)",0.49579439,"FAO Aquastat","SLE"
"SGP","Singapore","SDG 6.4.2. Water Stress (%)",83.1166667,"FAO Aquastat","SGP"
