"iso","country","variable","value","source"
"COL","Colombia","SDG 6.4.2. Water Stress (%)",4.3586332,"FAO Aquastat"
"BLR","Belarus","SDG 6.4.2. Water Stress (%)",4.37705999,"FAO Aquastat"
"HND","Honduras","SDG 6.4.2. Water Stress (%)",4.62126876,"FAO Aquastat"
"ALB","Albania","SDG 6.4.2. Water Stress (%)",4.72355769,"FAO Aquastat"
"LAO","Lao People's Democratic Republic","SDG 6.4.2. Water Stress (%)",4.79139505,"FAO Aquastat"
"CIV","Côte d'Ivoire","SDG 6.4.2. Water Stress (%)",5.08756567,"FAO Aquastat"
"CRI","Costa Rica","SDG 6.4.2. Water Stress (%)",5.35167235,"FAO Aquastat"
"GEO","Georgia","SDG 6.4.2. Water Stress (%)",5.3867101,"FAO Aquastat"
"BGD","Bangladesh","SDG 6.4.2. Water Stress (%)",5.72333948,"FAO Aquastat"
"GTM","Guatemala","SDG 6.4.2. Water Stress (%)",5.74209708,"FAO Aquastat"
"MMR","Myanmar","SDG 6.4.2. Water Stress (%)",5.8015014,"FAO Aquastat"
"UGA","Uganda","SDG 6.4.2. Water Stress (%)",5.82799634,"FAO Aquastat"
"SRB","Serbia","SDG 6.4.2. Water Stress (%)",6.00078891,"FAO Aquastat"
"ROU","Romania","SDG 6.4.2. Water Stress (%)",6.00692819,"FAO Aquastat"
"GHA","Ghana","SDG 6.4.2. Water Stress (%)",6.31473409,"FAO Aquastat"
"DJI","Djibouti","SDG 6.4.2. Water Stress (%)",6.33333333,"FAO Aquastat"
"CHE","Switzerland","SDG 6.4.2. Water Stress (%)",6.49885584,"FAO Aquastat"
"SVN","Slovenia","SDG 6.4.2. Water Stress (%)",6.7816092,"FAO Aquastat"
"ECU","Ecuador","SDG 6.4.2. Water Stress (%)",6.78235294,"FAO Aquastat"
"GRD","Grenada","SDG 6.4.2. Water Stress (%)",7.05,"FAO Aquastat"
"FIN","Finland","SDG 6.4.2. Water Stress (%)",7.11406213,"FAO Aquastat"
"PER","Peru","SDG 6.4.2. Water Stress (%)",7.1814456,"FAO Aquastat"
"VEN","Venezuela (Bolivarian Republic of)","SDG 6.4.2. Water Stress (%)",7.54036667,"FAO Aquastat"
"BFA","Burkina Faso","SDG 6.4.2. Water Stress (%)",7.82026769,"FAO Aquastat"
"VCT","Saint Vincent and the Grenadines","SDG 6.4.2. Water Stress (%)",7.9,"FAO Aquastat"
"MLI","Mali","SDG 6.4.2. Water Stress (%)",8.00308642,"FAO Aquastat"
"NZL","New Zealand","SDG 6.4.2. Water Stress (%)",8.04808476,"FAO Aquastat"
"HUN","Hungary","SDG 6.4.2. Water Stress (%)",8.0701209,"FAO Aquastat"
"NPL","Nepal","SDG 6.4.2. Water Stress (%)",8.31183266,"FAO Aquastat"
"CPV","Cabo Verde","SDG 6.4.2. Water Stress (%)",8.43333333,"FAO Aquastat"
"ATG","Antigua and Barbuda","SDG 6.4.2. Water Stress (%)",8.46153846,"FAO Aquastat"
"CHL","Chile","SDG 6.4.2. Water Stress (%)",8.98212109,"FAO Aquastat"
"EST","Estonia","SDG 6.4.2. Water Stress (%)",9.2310855,"FAO Aquastat"
"AUT","Austria","SDG 6.4.2. Water Stress (%)",9.64354794,"FAO Aquastat"
"NGA","Nigeria","SDG 6.4.2. Water Stress (%)",9.66821705,"FAO Aquastat"
"URY","Uruguay","SDG 6.4.2. Water Stress (%)",9.78609626,"FAO Aquastat"
