"iso3c","year","percap_waste"
"UGA",2040,255
"UGA",2050,302
"NAM",2020,200
"NAM",2030,233
"NAM",2040,272
"NAM",2050,315
"TZA",2020,199
"TZA",2030,224
"TZA",2040,259
"TZA",2050,308
"GAB",2020,197
"GAB",2030,219
"GAB",2040,246
"GAB",2050,278
"GHA",2020,196
"GHA",2030,233
"GHA",2040,280
"GHA",2050,344
"KGZ",2020,195
"KGZ",2030,232
"KGZ",2040,285
"KGZ",2050,349
"ARM",2020,192
"ARM",2030,230
"ARM",2040,270
"ARM",2050,308
"ZMB",2020,188
"ZMB",2030,215
"ZMB",2040,254
"ZMB",2050,313
"NGA",2020,186
"NGA",2030,216
"NGA",2040,254
"NGA",2050,308
"DMA",2020,186
"DMA",2030,214
"DMA",2040,244
"DMA",2050,280
"COD",2020,184
"COD",2030,205
"COD",2040,240
"COD",2050,297
"YEM",2020,181
"YEM",2030,224
"YEM",2040,277
"YEM",2050,335
"GTM",2020,175
"GTM",2030,202
"GTM",2040,239
"GTM",2050,287
"TON",2020,174
"TON",2030,201
"TON",2040,230
"TON",2050,264
"MHL",2020,170
"MHL",2030,189
"MHL",2040,211
"MHL",2050,238
"ERI",2020,167
"ERI",2030,183
"ERI",2040,209
"ERI",2050,250
"GNB",2020,167
"GNB",2030,183
"GNB",2040,214
"GNB",2050,264
"SOM",2020,165
"SOM",2030,181
"SOM",2040,206
"SOM",2050,247
"SWZ",2020,164
"SWZ",2030,184
"SWZ",2040,218
"SWZ",2050,264
"SEN",2020,164
"SEN",2030,183
"SEN",2040,210
"SEN",2050,253
"AFG",2020,163
"AFG",2030,172
"AFG",2040,188
"AFG",2050,213
"LBR",2020,163
"LBR",2030,181
"LBR",2040,207
"LBR",2050,251
"PAK",2020,161
"PAK",2030,180
"PAK",2040,210
"PAK",2050,251
"COG",2020,159
"COG",2030,178
"COG",2040,202
"COG",2050,232
"AGO",2020,158
"AGO",2030,158
"AGO",2040,154
"AGO",2050,162
"TGO",2020,157
"TGO",2030,167
"TGO",2040,182
"TGO",2050,209
"CMR",2020,156
"CMR",2030,178
"CMR",2040,208
"CMR",2050,251
"UZB",2020,153
"UZB",2030,189
"UZB",2040,230
"UZB",2050,272
"MDG",2020,153
"MDG",2030,164
"MDG",2040,183
"MDG",2050,216
"CUW",2020,152
"CUW",2030,171
"CUW",2040,188
"CUW",2050,204
"PHL",2020,152
"PHL",2030,176
"PHL",2040,205
"PHL",2050,244
"SUR",2020,150
"SUR",2030,183
"SUR",2040,217
"SUR",2050,250
"WSM",2020,150
"WSM",2030,167
"WSM",2040,188
"WSM",2050,219
"GMB",2020,149
"GMB",2030,162
"GMB",2040,183
"GMB",2050,213
"DJI",2020,147
"DJI",2030,178
"DJI",2040,223
"DJI",2050,279
