"country_code","country_name","CoCA","CoNA","CoRD","CoRD_f","CoRD_v","CoRD_ss","CoRD_asf","CoRD_lns","CoRD_of","CoCA_headcount","CoNA_headcount","CoRD_headcount","CoCA_unafford_n","CoNA_unafford_n","CoRD_unafford_n","gdp"
"CMR","Cameroon",0.894,2.065,2.616,0.447,0.592,0.48,0.837,0.144,0.116,16.8,50.7,60.9,4.1,12.5,15,3665.118
"COD","Congo, Dem. Rep.",0.56,2.049,2.921,0.315,0.804,0.383,1.207,0.136,0.076,38.5,91.5,96.4,31.3,74.5,78.5,1059.811
"COG","Congo, Rep.",0.987,2.576,3.343,0.733,1.12,0.532,0.633,0.224,0.1,46.4,85.3,91.6,2.4,4.4,4.7,4234.66
"COL","Colombia",0.991,2.526,2.863,0.492,0.617,0.548,0.798,0.262,0.146,3.5,20.3,24.7,1.7,9.9,12.1,14171.32
"CPV","Cabo Verde",0.62,2.522,3.358,0.823,1.036,0.342,0.779,0.281,0.098,0.3,27.6,42.1,0,0.1,0.2,6643.18
"CRI","Costa Rica",0.973,2.824,3.961,0.587,1.388,0.617,0.863,0.411,0.094,0.8,8.1,16.2,0,0.4,0.8,20347.03
"CUW","Curacao",1.137,2.396,2.866,0.466,0.711,0.607,0.673,0.295,0.114,,,,,,,24599.94
"CYM","Cayman Islands",1.095,2.231,2.928,0.654,0.75,0.556,0.585,0.257,0.125,,,,,,,69753.09
"CYP","Cyprus",0.577,2.068,2.846,0.724,0.65,0.416,0.697,0.279,0.08,0,0.1,0.1,0,0,0,38287.97
"CZE","Czech Republic",0.441,2.361,2.899,0.693,0.757,0.297,0.7,0.377,0.076,0,0.2,0.4,0,0,0,38824.89
"DEU","Germany",0.262,2.224,2.786,0.714,0.816,0.235,0.666,0.301,0.052,0,0.2,0.2,0,0.2,0.2,53071.46
"DJI","Djibouti",0.616,2.459,2.797,0.556,0.529,0.449,0.988,0.165,0.111,5.3,56.9,64.6,0.1,0.5,0.6,4904.977
"DMA","Dominica",1.217,3.478,4,0.66,1.226,0.764,0.841,0.363,0.146,,,,,,,11341.33
"DNK","Denmark",0.3,1.728,2.376,0.546,0.78,0.235,0.498,0.263,0.053,0.1,0.2,0.2,0,0,0,55356.68
"DOM","Dominican Republic",1.181,2.876,3.521,0.534,0.865,0.681,0.898,0.362,0.181,0.9,13.1,21.2,0.1,1.4,2.2,16735.36
"DZA","Algeria",0.773,2.323,3.763,0.979,0.699,0.496,0.964,0.493,0.132,0.2,7.2,35.2,0.1,3,14.6,11737.4
"ECU","Ecuador",1.348,2.512,2.788,0.329,0.426,0.81,0.753,0.341,0.129,4.7,16,18.9,0.8,2.7,3.2,11617.91
"EGY","Egypt, Arab Rep.",0.988,2.29,3.457,0.531,0.489,0.58,1.209,0.384,0.264,2,44.9,76.2,2,43.3,73.5,11014.49
