"SUM of val","","sex_name"
"iso3c",,"f"
"ARE",,10.85796913
"ARE",,1.399550739
"ARE",,6.043163105
"ARE",,9.555033928
"ARE",,65.01718538
"ARE",,4.594171133
"ARE",,0
"ARE",,0.4420471213
"ARE",,0
"ARE",,0.2447019446
"ARE",,0
"ARE",,0
"ARE",,2.720215776
"ARE",,0.8758906551
"ARE",,0.7812970454
"ARE",,2.499849935
"ARE",,35.20530062
"ARE",,6.037549014
"ARG",,80.81096682
"ARG",,407.0634455
"ARG",,17.81531673
"ARG",,0.1515178414
"ARG",,611.1717468
"ARG",,0.4013502081
"ARG",,0.003591658971
"ARG",,43.41007273
"ARG",,29.34799102
"ARG",,0.01185688575
"ARG",,0.2979737641
"ARG",,0.3528224601
"ARG",,0.01247117286
"ARG",,0.9207324272
"ARG",,0
"ARG",,25.31913974
"ARG",,0.1321562627
"ARG",,0
"ARG",,0
"ARG",,0
"ARG",,0.5657044632
"ARG",,0.01843476707
"ARG",,8.087928386
"ARG",,0.0006274291648
"ARG",,0.04693994104
"ARG",,1.087131683
"ARG",,374.6470174
"ARG",,22.25175724
"ARG",,2.821087322
"ARG",,14.02122099
"ARG",,2.728089384
"ARG",,14.24122548
"ARG",,32.37097205
"ARG",,147.5058849
"ARG",,19.71462411
"ARG",,8.8853556
"ARG",,272.5094695
"ARG",,1048.577159
"ARG",,906.7783076
"ARG",,38.8729796
"ARG",,
"ARG",,342.8917436
"ARG",,21.00713294
"ARG",,4.536772027
"ARG",,3.62270524
"ARG",,75.99795658
"ARG",,122.5376131
"ARG",,46.88352643
"ARG",,9.332944358
"ARG",,222.9469863
"ARG",,
"ARG",,69.76250609
"ARG",,12.94222319
"ARG",,141.5140717
"ARG",,14.11879856
"ARG",,9.255419185
"ARG",,28.58526527
"ARG",,120.1415233
"ARG",,18.55458491
"ARG",,221.9736553
"ARG",,9.886800155
"ARG",,36.23945707
"ARG",,397.2789423
"ARG",,639.9309492
"ARG",,48.6891947
"ARG",,101.7437915
"ARG",,3.914223907
"ARG",,22.88225686
"ARG",,0.7434139077
"ARG",,38.82912461
"ARG",,20.64190934
"ARG",,140.2074097
"ARG",,0.3940941749
"ARG",,47.69061816
"ARG",,45.618514
"ARG",,27.47819906
"ARG",,215.4266614
"ARG",,11.99673558
"ARG",,43.56811628
"ARG",,4.643682732
"ARG",,8.245756206
"ARG",,14.99201984
"ARG",,44.88248966
"ARG",,67.55801275
"ARG",,36.78088618
"ARG",,12.14952832
"ARG",,3.346955487
"ARG",,71.19759918
"ARG",,24.09231782
"ARG",,13.39375698
"ARG",,39.9700333
"ARG",,22.72502129
"ARG",,8.537330908
"ARG",,0.915507873
"ARG",,200.9532896
"ARG",,0.1594269899
"ARG",,306.4259812
"ARG",,63.44283389
"ARG",,8.870760041
"ARG",,33.96075764
"ARG",,97.05227243
"ARG",,13.92515677
"ARG",,130.696802
"ARG",,86.77749178
