"Iso3_code","Country","Region","Subregion","Indicator","Dimension","Category","Sex","Age","Year","unit","VALUE","Source","region_iso3c","region"
"LIE","Liechtenstein","Europe","Western Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",2.622125495,"Eurostat/CTS/NSO","ECS","Europe & Central Asia"
"LTU","Lithuania","Europe","Northern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",3.710110345,"UNSDC/CTS","ECS","Europe & Central Asia"
"LUX","Luxembourg","Europe","Western Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.1597505336,"Eurostat/UNECE/CTS/OHCHR","ECS","Europe & Central Asia"
"LVA","Latvia","Europe","Northern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",3.711161371,"UNSDC/CTS/NSO","ECS","Europe & Central Asia"
"MAC","China, Macao Special Administrative Region","Asia","Eastern Asia","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.3080041026,"SDG/NP/CTS/Covid-19","EAS","East Asia & Pacific"
"MAR","Morocco","Africa","Northern Africa","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",1.240837378,"UNSDC/CTS","MEA","Middle East & North Africa"
"MDA","Republic of Moldova","Europe","Eastern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",2.305425211,"UNSDC/CTS/NSO","ECS","Europe & Central Asia"
"MEX","Mexico","Americas","Latin America and the Caribbean","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",28.3706034,"NSO/CTS","LCN","Latin America & Caribbean"
"MLT","Malta","Europe","Southern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",1.58536392,"UNSDC/Eurostat/CTS/NSO","MEA","Middle East & North Africa"
"MMR","Myanmar","Asia","South-eastern Asia","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.009189522019,"NSO/CTS","EAS","East Asia & Pacific"
"MNE","Montenegro","Europe","Southern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",2.865959093,"Eurostat/CTS","ECS","Europe & Central Asia"
"MNG","Mongolia","Asia","Eastern Asia","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",5.978723067,"CTS/SDG","EAS","East Asia & Pacific"
"MUS","Mauritius","Africa","Sub-Saharan Africa","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",2.752076442,"UNSDC/CTS/NSO/SDG","SSF","Sub-Saharan Africa"
"NAM","Namibia","Africa","Sub-Saharan Africa","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",11.92483341,"NP/Interpol/Covid-19","SSF","Sub-Saharan Africa"
"NLD","Netherlands","Europe","Western Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.6244575025,"MD/NSO/CTS","ECS","Europe & Central Asia"
"NOR","Norway","Europe","Northern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.5718246852,"UNSDC/GSH Revision/SDG/Eurostat/CTS/NP","ECS","Europe & Central Asia"
"OMN","Oman","Asia","Western Asia","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.274153834,"NSO/CTS/SDG","MEA","Middle East & North Africa"
"PAK","Pakistan","Asia","Southern Asia","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",3.843501475,"UNSDC/NSO/NP","SAS","South Asia"
"PAN","Panama","Americas","Latin America and the Caribbean","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",11.58810856,"NSO/CTS/PPR/External","LCN","Latin America & Caribbean"
"POL","Poland","Europe","Eastern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.7028371501,"UNSDC/Eurostat/CTS","ECS","Europe & Central Asia"
"PRI","Puerto Rico","Americas","Latin America and the Caribbean","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",18.49107255,"NP/NSO/External","LCN","Latin America & Caribbean"
"PRT","Portugal","Europe","Southern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.9120591579,"MD Adjusted/Eurostat/SDG/External","ECS","Europe & Central Asia"
