"iso3c","year","povertyrate","gdppc","ghgpc","note"
"SSD",2022,73.8,794.08801,0.682107985,
"STP",2019,15.07362938,4005.3416,0.68,
"STP",2022,14.9,4029.957,0.6686480045,
"SUR",2019,15.34828854,19036.744,5.99,
"SUR",2022,12.3,15198.282,6.562986374,
"SVK",2019,0.1181162596,31927.594,5.85,
"SVK",2022,0,32025.611,5.4456563,
"SVN",2019,0,38946.684,6.47,
"SVN",2022,0,42222.195,6.375294685,
"SWE",2019,0.3165186048,52850.57,3.47,
"SWE",2022,0.2,53094.871,3.117567778,
"SWZ",2019,34.23328781,8652.9229,0.92,
"SWZ",2022,33.1,9053.252,0.9945313334,
"SYC",2019,0.5110040307,29366,6.27,
"SYC",2022,0,29854.232,6.534316063,
"TCD",2019,30.73449516,1579.6261,0.29,
"TCD",2022,34.1,1453.3992,0.2798950076,
"TGO",2019,27.47520828,2121.8999,0.25,
"TGO",2022,25.6,2228.3589,0.1854172945,
"THA",2019,0.09503760189,18438.646,3.81,
"THA",2022,0,17949.297,3.64928627,
"TJK",2019,3.507111073,3581.4092,0.84,
"TJK",2022,3.1,4043.0959,1.167849183,
"TKM",2019,0.9976912737,15538.42,24.22,
"TKM",2022,0.8,15189.551,21.01888084,
"TLS",2019,7.323234081,3626.6731,3.79,
"TLS",2022,9.9,3438.3899,3.429068804,
"TON",2019,0.9524902701,6377.3555,1.56,
"TON",2022,1.1,6070.9575,1.653806806,
"TTO",2019,0.2235803157,26827.295,16.34,
"TTO",2022,0,25313.297,14.33919621,
"TUN",2019,0.09080129117,11420.85,2.48,
"TUN",2022,0.2,10688.199,2.384971857,
"TUR",2019,0.3606097996,28197.248,4.54,
"TUR",2022,0.1,32419.518,4.934150696,
"TUV",2019,0.2823207676,4527.6841,0.94,
"TUV",2022,0.2,4746.6304,1.281791925,
"TWN",2022,0,59063.512,6.792457581,
"TZA",2019,43.08327484,2660.6375,0.28,
"TZA",2022,42.1,2708.3171,0.2773568332,
"UGA",2019,40.54864502,2182.8997,0.25,
"UGA",2022,39.3,2212.386,0.2490724325,
"UKR",2019,0,12804.955,4.05,
"URY",2019,0.102072008,23032.734,1.9,
"URY",2022,0,23518.063,1.774154067,
"USA",2019,0.9991705418,62458.754,15.98,
"USA",2022,0.5,63945.848,15.09097385,
"UZB",2019,30.14192772,7348.147,4.11,
"UZB",2022,26.4,7972.9482,3.404434443,
"VNM",2019,0.8835430741,10134.259,3.11,
"VNM",2022,0.6,11150.295,3.185648203,
"VUT",2019,9.234265327,3116.5947,0.7,
"VUT",2022,12.1,2779.3721,0.689066112,
"WSM",2019,0.7517678142,6627.8384,1.5,
"WSM",2022,1.4,5515.7607,1.487871528,
"XKX",2022,0.3,11903.869,2.735215187,
"YEM",2019,58.73381805,2097.4399,0.47,
"YEM",2022,65.2,1815.48,0.3657464087,
"ZAF",2019,21.18907166,13709.967,8.15,
"ZAF",2022,5,13200.073,7.47495985,
"ZMB",2019,61.06533813,3470.4355,0.42,
"ZMB",2022,61.5,3295.124,0.5001118183,
"ZWE",2019,39.75453186,2310.6348,1,
"ZWE",2022,40.5,2244.875,0.8903939724,
"CHN",1991,69.67447662,1534.7053,2.15,
"CHN",1992,66.31111145,1731.6572,2.21,
"CHN",1993,62.70599365,1949.5343,2.37,
"CHN",1994,57.25074005,2178.9241,2.43,
"CHN",1995,53.32939529,2391.4771,2.68,
"CHN",1996,48.14048386,2601.3635,2.63,
"CHN",1997,47.60237885,2812.7112,2.64,
"CHN",1998,46.95196915,3004.4272,2.69,
"CHN",1999,45.9658432,3206.73,2.58,
"CHN",2000,41.88835144,3451.6792,2.71,
"CHN",2001,39.52999115,3712.3381,2.83,
"CHN",2002,36.50299835,4024.3557,3.02,
"CHN",2003,32.58401489,4400.8252,3.47,
"CHN",2004,27.83196259,4817.2119,4,
"CHN",2005,22.11752319,5334.6465,4.53,
"CHN",2006,20.74481583,5979.7817,4.95,
"CHN",2007,19.02689552,6795.1738,5.34,
"CHN",2008,17.95898819,7412.8745,5.47,
"CHN",2009,16.04939461,8069.3545,5.81,
"CHN",2010,13.90228176,8884.5879,6.34,
"CHN",2011,10.225214,9680.0977,6.9,
"CHN",2012,8.49285984,10370.727,7.04,
"CHN",2013,2.883034468,11101.938,7.31,
"CHN",2014,2.079149246,11851.404,7.26,
"CHN",2015,1.169680119,12612.352,7.15,
"CHN",2016,0.8332688808,13399.138,7.07,
"CHN",2017,0.675714016,14243.532,7.18,
"CHN",2018,0.4278148711,15133.996,7.44,
"CHN",2019,0.1424285918,15977.764,7.54,
"MLI",1991,83.31218719,1547.0841,0.1719101125,
"MLI",1992,84.85250854,1460.9481,0.17,
"MLI",1993,84.74900055,1468.0073,0.17,
"MLI",1994,84.49571991,1483.068,0.17,
"MLI",1995,82.48064423,1457.572,0.17,
"MLI",1996,81.37361908,1520.4569,0.17,
"MLI",1997,78.79882813,1553.3339,0.17,
"MLI",1998,72.95709229,1628.0143,0.17,
"MLI",1999,69.15216827,1675.1704,0.17,
"MLI",2000,71.50585175,1627.7323,0.17,
"MLI",2001,57.23981857,1823.8407,0.18,
"MLI",2002,57.1601944,1824.6012,0.16,
"MLI",2003,52.81927872,1930.2074,0.16,
"MLI",2004,53.62225342,1899.082,0.16,
"MLI",2005,51.40702057,1958.8187,0.17,
"MLI",2006,49.74780273,1983.7056,0.18,
"MLI",2007,49.94297791,1985.6234,0.19,
"MLI",2008,49.33916092,2012.2813,0.19,
"MLI",2009,48.97466278,2041.3302,0.22,
"MLI",2010,46.91807175,2082.9619,0.23,
"MLI",2011,46.64790344,2085.4209,0.25,
"MLI",2012,43.62729263,2007.8069,0.24,
"MLI",2013,40.76920319,1995.1593,0.23,
"MLI",2014,35.32038116,2075.4006,0.23,
"MLI",2015,36.97408295,2139.7363,0.24,
"MLI",2016,27.13689995,2198.5603,0.3,
"MLI",2017,21.27214241,2246.7974,0.32,
"MLI",2018,16.73251724,2283.7024,0.32,
"MLI",2019,14.43241596,2321.7021,0.33,
