"year","variable","value"
1913,"sim.human.bottom",-0.330664316
1913,"sim.human.top",0.196287358
1913,"sim.natural.mean",-0.069708463
1913,"sim.natural.bottom",-0.284083824
1913,"sim.natural.top",0.168548641
1913,"observed",-0.114
1914,"sim.human.mean",-0.025164653
1914,"sim.human.bottom",-0.244044246
1914,"sim.human.top",0.205200341
1914,"sim.natural.mean",-0.016084778
1914,"sim.natural.bottom",-0.308194936
1914,"sim.natural.top",0.178487854
1914,"observed",0.079
1915,"sim.human.mean",-0.011783724
1915,"sim.human.bottom",-0.231010164
1915,"sim.human.top",0.26675754
1915,"sim.natural.mean",0.013941174
1915,"sim.natural.bottom",-0.219966943
1915,"sim.natural.top",0.299163114
1915,"observed",0.136
1916,"sim.human.mean",0.011305173
1916,"sim.human.bottom",-0.259924558
1916,"sim.human.top",0.24145151
1916,"sim.natural.mean",0.021204116
1916,"sim.natural.bottom",-0.16203695
1916,"sim.natural.top",0.257852404
1916,"observed",-0.086
1917,"sim.human.mean",0.056700083
1917,"sim.human.bottom",-0.103681742
1917,"sim.human.top",0.279343389
1917,"sim.natural.mean",0.039411174
1917,"sim.natural.bottom",-0.148580574
1917,"sim.natural.top",0.334952628
1917,"observed",-0.214
1918,"sim.human.mean",0.088459158
1918,"sim.human.bottom",-0.180434516
1918,"sim.human.top",0.320627632
1918,"sim.natural.mean",0.038939745
1918,"sim.natural.bottom",-0.098677991
1918,"sim.natural.top",0.237478744
1918,"observed",-0.061
1919,"sim.human.mean",0.101614614
1919,"sim.human.bottom",-0.10142099
1919,"sim.human.top",0.312340815
1919,"sim.natural.mean",0.056751209
1919,"sim.natural.bottom",-0.142003415
1919,"sim.natural.top",0.347230873
1919,"observed",-0.006
1920,"sim.human.mean",0.107236793
1920,"sim.human.bottom",-0.088695784
1920,"sim.human.top",0.377769043
1920,"sim.natural.mean",0.077445414
1920,"sim.natural.bottom",-0.141838133
1920,"sim.natural.top",0.320351875
1920,"observed",0.034
1921,"sim.human.mean",0.125130368
1921,"sim.human.bottom",-0.041311222
1921,"sim.human.top",0.398556851
1921,"sim.natural.mean",0.089733748
1921,"sim.natural.bottom",-0.157109843
1921,"sim.natural.top",0.312977546
1921,"observed",0.074
1922,"sim.human.mean",0.140765531
1922,"sim.human.bottom",-0.091273713
1922,"sim.human.top",0.398497237
1922,"sim.natural.mean",0.055069113
1922,"sim.natural.bottom",-0.160815552
1922,"sim.natural.top",0.331423202
1922,"observed",-0.009
1923,"sim.human.mean",0.13930718
1923,"sim.human.bottom",-0.087563308
1923,"sim.human.top",0.330322522
1923,"sim.natural.mean",0.055686312
1923,"sim.natural.bottom",-0.196543479
1923,"sim.natural.top",0.310357934
1923,"observed",0.016
1924,"sim.human.mean",0.105576189
1924,"sim.human.bottom",-0.081464872
1924,"sim.human.top",0.310321031
1924,"sim.natural.mean",0.051222275
1924,"sim.natural.bottom",-0.183091366
1924,"sim.natural.top",0.286589376
1924,"observed",0.019
1925,"sim.human.mean",0.111401429
1925,"sim.human.bottom",-0.085010883
1925,"sim.human.top",0.391099472
1925,"sim.natural.mean",0.049599639
1925,"sim.natural.bottom",-0.158119841
1925,"sim.natural.top",0.312606436
1925,"observed",0.056
1926,"sim.human.mean",0.124356549
1926,"sim.human.bottom",-0.051087655
1926,"sim.human.top",0.355201409
1926,"sim.natural.mean",0.058662241
1926,"sim.natural.bottom",-0.187235531
1926,"sim.natural.top",0.303093109
1926,"observed",0.186
1927,"sim.human.mean",0.163591493
1927,"sim.human.bottom",-0.019103346
1927,"sim.human.top",0.413883177
1927,"sim.natural.mean",0.068462821
1927,"sim.natural.bottom",-0.146240296
1927,"sim.natural.top",0.311808425
1927,"observed",0.081
1928,"sim.human.mean",0.181149859
